insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Luis', 'Villarreal', 'admin', '$2b$12$0i8QSUpCZGIlcKYQE5kbb.orYqLHnRZAk8cOF4tUZGj0k1YnhcNJ2', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Luis', 'Villarreal', 'admin1', '$2b$12$N/1bGng/3zHr6y/xErki8eBC9alwrvl5d2MG3mtxokdzMzoEednPC', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Bordy', 'Schroder', 'bschroder0', '$2b$12$AdW7WL1r5hNiCgVKUqjQ9upedSN6FPcprEWkOs3jkvrGSr/REluJ6', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Othelia', 'Grumley', 'ogrumley1', '$2b$12$/UBRTpFeI6vnV8yplOsLVOvMLdbboXY.Z4VYM5KRnA7u36yhoP9uW', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Balduin', 'Uttley', 'buttley2', '$2b$12$j3hnC6goUxznYNjg6NlhVeo1zqXweBKjj8u0Fn/4eI2P5FNOxlROi', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Ramsay', 'Thorneywork', 'rthorneywork3', '$2b$12$2tZvE0oeazcecCiEE.u/Fufy1czVhQME93kahlilpJhn0S5GHZrJi', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Ber', 'Londing', 'blonding4', '$2b$12$Mwum/lenLTkznMtdVsZISewccwHUTjn/H/rXBrUfLx/6xbgiFvcr6', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Jo', 'Cornels', 'jcornels5', '$2b$12$WnlbcqQfPdRfCo3pKUIx8.qs5ZFzN6UKklcx5K0lUDlAnXD3A4pXy', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Lynea', 'Raddenbury', 'lraddenbury6', '$2b$12$78.olXITuXJSZSG8yJPINe29oET5BiajLfUBNm9/4img09VxkKbPq', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Bryana', 'Royle', 'broyle7', '$2b$12$jagYeLtBrEG5NoPWQEnuEe4SnLCWNCWbH0lQfTzOYyXl.aRl11pya', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Ivory', 'McKernan', 'imckernan8', '$2b$12$HY7FQmXIpk7uYaazQpb6VOUwTKbkEwCcpIqh.FRKIhI0yvP7KbFPC', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Efren', 'Height', 'eheight9', '$2b$12$MqMgq24ttdtMcpa55ivIk.dN1CoUqliVTrAdypb.GAdbcYXIpuqgG', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Thedric', 'Bernaldez', 'tbernaldeza', '$2b$12$mmLiYtdiDIrgnkiibJfzKeK5ypngM9hzWcb1gJxi9432R7KdaHPDS', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Sena', 'Iggo', 'siggob', '$2b$12$7Rh7grCLO1ENa6Zxh2ADhu0zSGXQZSBDhI7wiDIisfd/skFiOa3BO', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Vite', 'Ellgood', 'vellgoodc', '$2b$12$z9qr4winhiLVs2/pooeeZe5J1wfh7hdhea03Nj2QeeFAoDrszISfi', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Husein', 'Querree', 'hquerreed', '$2b$12$uLFCHTLRJPnRMkrgGWJ9x.8pZ3NbT/Q.i/1ZFcWwj1AFjE5LOvEJe', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Brittaney', 'Easum', 'beasume', '$2b$12$v7SkZn8eZkVs9AtErKiXAuAT2sQDxkl9EquRPc2rEDUEU398DNbyS', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Pebrook', 'Pesak', 'ppesakf', '$2b$12$3ZN5Byzhof5UnAp0i6EdOOO/MsA40SeJ.CUgqmtGey6py2fCYQ0HC', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Kathi', 'Wegner', 'kwegnerg', '$2b$12$UeNUbZN7I30F9AQFvBMKhO7Sk0e9JhA4X6a5FReHkDnhOrWPamTMO', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Danny', 'Amburgy', 'damburgyh', '$2b$12$QftA97pjpETPQlyjQ7.6xOIVFOHnagzecIA1h2f1A5dMZILGeJMVO', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Antonin', 'Wandless', 'awandlessi', '$2b$12$6HtB/0fTOAl34v0sUjrWF.bAU5Co9awpw9qmpbViS5L3aW8whAYle', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Zelda', 'Chalker', 'zchalkerj', '$2b$12$xZNK9RN9fqdm0XxY0kMuheSjmbzXXsmQ0f5JVTcoYT5HljKJZH/s2', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Jandy', 'Fillery', 'jfilleryk', '$2b$12$Xf/9/LcK3hgoCWR1UOHhOuUKRdKAv./tdfjptegnCVX2RBqhCAwXy', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Reina', 'Breckon', 'rbreckonl', '$2b$12$YHbNC9XWF4SWhWDPaMF2QOgMC27v5birKh9LtbLjdovkKk4CEfz62', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Chandal', 'Davy', 'cdavym', '$2b$12$QNwwdIWbevKm72We7V5.OueF5F.w.hSjnWEXnueplPhcw5MIqk9ke', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Moll', 'Benbow', 'mbenbown', '$2b$12$QdW45Q61JKgY.O4agYApGOwhqjExvMwAm9aY3A8XwYYqLkN/.UtAu', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Dotty', 'Ranshaw', 'dranshawo', '$2b$12$H6J.y9CIMUdNZyznt10PMucx/FPs/seYUISvFAtcnCtyTI.3qCobC', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Cosette', 'Surphliss', 'csurphlissp', '$2b$12$c8oHdH88MZ3A1XUMU3uGX.AnF2bXR7OB9rIoKDRqF5P/oOf2Nf/4S', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Beulah', 'Allanby', 'ballanbyq', '$2b$12$pjGunMU.h9zg6wSqmN02lecuUotEY88dp0nSKokruo0kFiVYaxUr.', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Cornelia', 'MacKonochie', 'cmackonochier', '$2b$12$D6ST0j0uMP3VXenBXm2/KuQ.cWLFSQI/rFa8W9Kah02VVaeUys74S', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Bobbe', 'Atrill', 'batrills', '$2b$12$IDSRt17k/PB2Z9YSh4FZOe4zJtZKp4gyMq4t.nFQU6SF0dsJPB/eu', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Celesta', 'Busk', 'cbuskt', '$2b$12$i/ZXl9y9vJj/0.V2mFLqpu5MlK663RcO.ozmKEK/wtix.unDQp2Pq', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Clerc', 'Librey', 'clibreyu', '$2b$12$WU7LyYH3.znZE30ErvVpCuGV5nnX8Q801e.a4OPaM3UvJ5UAPKDA2', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Andie', 'Woolveridge', 'awoolveridgev', '$2b$12$dCPHnIDo35fWQtyFWXDwfeIcsBx709erEIh2nn4YBssNv11gUI5gS', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Roarke', 'Rickerby', 'rrickerbyw', '$2b$12$NJfTsO4DG3M/TK/2dUVRMuyowLIN16WK73xpQWGl1DmJbxqvALDJm', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Iain', 'Constant', 'iconstantx', '$2b$12$6wR8u7.BdAH8rDW4H7t8HOqXBeUeKN3tP./AsNOUSaZfItVa3FABi', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Vittorio', 'Brizell', 'vbrizelly', '$2b$12$6MO8ItS9RwIU07bgRkNQhu2Qf2pEiYbFQ2RMEAAbMYqp.r6Iq7TwS', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Nap', 'Neubigging', 'nneubiggingz', '$2b$12$gKrZJL/uXjEyDYloF4dgieB8dCGAjARSaOpJgDbRAUrfPVHMMR.ia', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Koo', 'Blampy', 'kblampy10', '$2b$12$65Dcvo8u1M9jdiogwZYiBekqPWJW9mLdUtqncy6Ute/Vy8M2IHjua', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Kaleb', 'Wandrey', 'kwandrey11', '$2b$12$WVU5equHYRiQxd4xOTh0HOgPW4fEWSnaDq8EI8Mb15V6a7ax4P8um', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Rad', 'Comford', 'rcomford12', '$2b$12$ZZ1307uaE4fkH6FPSCmFcuF1jgx8GimCOaiRWfb94UAGpTiibrUOK', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Gearard', 'Emblem', 'gemblem13', '$2b$12$3.XXUOdo/TSaNNddey5DGOK9G7FFiHC9IpvvDVC3JMCNkMREuw5WK', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Alana', 'Dignam', 'adignam14', '$2b$12$1kxLwjSuS85cCa6Bvi84y.zV5avucua/1OetYKFg4MVQGP5Zgsjqe', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Agustin', 'Kennedy', 'akennedy15', '$2b$12$IhbObIRKxkqS..6TMe/dWu.wOsNXBFEk1jFD1OQLNlJ0z5.ffHR9S', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Dillie', 'Bertelmot', 'dbertelmot16', '$2b$12$oF4sx9swz1MTWoO9FxnuZeS8yRwFJ0rTHydXE8j9Z02ie8sIWYfDG', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Teresita', 'Asipenko', 'tasipenko17', '$2b$12$jig.df8VJeuVRz9yTPVWCeJ5x8vJqzaxh/1Y9h76wsO3N9tou.JjW', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Aliza', 'Lettuce', 'alettuce18', '$2b$12$GYt67nckJjdcaBnEbH8ZT.DwCmMc4lTyL0aJrpXdo8D8QHyUait9i', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Wendi', 'Cloy', 'wcloy19', '$2b$12$tK1SiAvFlnT4rHGz7dKPz.2Ph/dmHony7In3BwRkgP/Dmsia.zeKy', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Tiffanie', 'Stansby', 'tstansby1b', '$2b$12$v5dcPvQPVoaTMtqQwX.J2enJz66AobKyeqlupsGyMe6vGID6M1GBy', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Margie', 'Dunford', 'mdunford1c', '$2b$12$VzF.bP0OnGvZofX/T/xS5eJh/GA6TMuDXH2pjSqH50OA6fxOZkuZi', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Kassie', 'Trays', 'ktrays1d', '$2b$12$rgQnyQjP5YbzP0w0I5HTH.3Z/54tyGY.lDW0RX/JAfhj//HMiZIna', 'activo');
