
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Luis', 'Villarreal', 'admin', 'admin', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Luis', 'Villarreal', 'admin1', 'admin', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Bordy', 'Schroder', 'bschroder0', 'oWtm70v', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Othelia', 'Grumley', 'ogrumley1', '4WWS4gCqPCq', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Balduin', 'Uttley', 'buttley2', 'lk2PJCgX', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Ramsay', 'Thorneywork', 'rthorneywork3', 'KqjLTcYX6ym', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Ber', 'Londing', 'blonding4', '7tqHanr', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Jo', 'Cornels', 'jcornels5', 'dg0QmZcoJE6b', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Lynea', 'Raddenbury', 'lraddenbury6', 'U8EaohtYFpC', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Bryana', 'Royle', 'broyle7', '9LVe6MAwOxko', 'activo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Ivory', 'McKernan', 'imckernan8', 'n9zUxwxC', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Efren', 'Height', 'eheight9', '5kHkYC5', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Thedric', 'Bernaldez', 'tbernaldeza', 'PpsEdeNQo', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Sena', 'Iggo', 'siggob', 'tzzQSbzrjJe', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Vite', 'Ellgood', 'vellgoodc', 'GbDOXfKMQBi', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Husein', 'Querree', 'hquerreed', '3Z5WaPwDvMn', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Brittaney', 'Easum', 'beasume', 'ZbQP282RRp6', 'desactivo');
insert into usuarios (nombre, apellido, usuario, pass, estado) values ('Pebrook', 'Pesak', 'ppesakf', 'Iv6beBn4CSeY', 'desactivo');
