id,nombre,apellido,usuario,pass,fecha_creacion,ult_ingreso,estado,permisos/0/id,permisos/0/nombre_permiso,enabled,fechaCreacion,ultIngreso
1,Luis,Villarreal,admin,$2b$12$0i8QSUpCZGIlcKYQE5kbb.orYqLHnRZAk8cOF4tUZGj0k1YnhcNJ2,,,activo,1,ADMIN,true,,
2,Luis,Villarreal,admin1,$2b$12$N/1bGng/3zHr6y/xErki8eBC9alwrvl5d2MG3mtxokdzMzoEednPC,,,activo,2,USER,true,,
3,Bordy,Schroder,bschroder0,$2b$12$AdW7WL1r5hNiCgVKUqjQ9upedSN6FPcprEWkOs3jkvrGSr/REluJ6,,,activo,1,ADMIN,true,,
4,Othelia,Grumley,ogrumley1,$2b$12$/UBRTpFeI6vnV8yplOsLVOvMLdbboXY.Z4VYM5KRnA7u36yhoP9uW,,,desactivo,2,USER,false,,
5,Balduin,Uttley,buttley2,$2b$12$j3hnC6goUxznYNjg6NlhVeo1zqXweBKjj8u0Fn/4eI2P5FNOxlROi,,,activo,1,ADMIN,true,,
6,Ramsay,Thorneywork,rthorneywork3,$2b$12$2tZvE0oeazcecCiEE.u/Fufy1czVhQME93kahlilpJhn0S5GHZrJi,,,activo,1,ADMIN,true,,
7,Ber,Londing,blonding4,$2b$12$Mwum/lenLTkznMtdVsZISewccwHUTjn/H/rXBrUfLx/6xbgiFvcr6,,,desactivo,2,USER,false,,
8,Jo,Cornels,jcornels5,$2b$12$WnlbcqQfPdRfCo3pKUIx8.qs5ZFzN6UKklcx5K0lUDlAnXD3A4pXy,,,activo,1,ADMIN,true,,
9,Lynea,Raddenbury,lraddenbury6,$2b$12$78.olXITuXJSZSG8yJPINe29oET5BiajLfUBNm9/4img09VxkKbPq,,,desactivo,1,ADMIN,false,,
10,Bryana,Royle,broyle7,$2b$12$jagYeLtBrEG5NoPWQEnuEe4SnLCWNCWbH0lQfTzOYyXl.aRl11pya,,,activo,2,USER,true,,
11,Ivory,McKernan,imckernan8,$2b$12$HY7FQmXIpk7uYaazQpb6VOUwTKbkEwCcpIqh.FRKIhI0yvP7KbFPC,,,desactivo,2,USER,false,,
12,Efren,Height,eheight9,$2b$12$MqMgq24ttdtMcpa55ivIk.dN1CoUqliVTrAdypb.GAdbcYXIpuqgG,,,desactivo,1,ADMIN,false,,
13,Thedric,Bernaldez,tbernaldeza,$2b$12$mmLiYtdiDIrgnkiibJfzKeK5ypngM9hzWcb1gJxi9432R7KdaHPDS,,,desactivo,1,ADMIN,false,,
14,Sena,Iggo,siggob,$2b$12$7Rh7grCLO1ENa6Zxh2ADhu0zSGXQZSBDhI7wiDIisfd/skFiOa3BO,,,desactivo,1,ADMIN,false,,
15,Vite,Ellgood,vellgoodc,$2b$12$z9qr4winhiLVs2/pooeeZe5J1wfh7hdhea03Nj2QeeFAoDrszISfi,,,desactivo,2,USER,false,,
16,Husein,Querree,hquerreed,$2b$12$uLFCHTLRJPnRMkrgGWJ9x.8pZ3NbT/Q.i/1ZFcWwj1AFjE5LOvEJe,,,desactivo,2,USER,false,,
